event_id,actor1_country,actor1_type,actor2_country,event_code,lat,lon,action_country,action_geo,avg_tone,date,_source,_fetched_at,_run_id
1313517313,QAT,QATAR,QAT,BUS,018,018,3.4,50,-8.29424557691176,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516963,IRNMOS,IRAN,IRN,BUS,012,012,-0.4,8,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516962,IRNMOS,IRAN,IRN,BUS,012,012,-0.4,2,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516961,IRNGOV,IRANIAN,IRN,MOS,173,173,-5.0,6,-6.2111801242236,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516960,IRNGOV,IRAN,IRN,,154,154,-7.2,1,-5.56900726392252,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516959,IRN,IRAN,IRN,USAGOV,010,010,0.0,2,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516939,IRN,IRAN,IRN,JOR,190,190,-10.0,7,-4.73500045497034,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516938,IRN,IRAN,IRN,JOR,043,043,2.8,2,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516937,IRN,IRAN,IRN,JOR,043,043,2.8,16,-4.30598176296632,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516422,ARE,UNITED ARAB EMIRATES,ARE,,130,130,-4.4,6,-3.80228136882129,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516917,IRN,IRAN,IRN,,050,050,3.5,4,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516916,IRN,IRAN,IRN,,010,010,0.0,6,-2.98759807126512,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516915,IRN,IRAN,IRN,,010,010,0.0,2,-5.56900726392252,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516425,AREGOVMIL,UNITED ARAB EMIRATES,ARE,AREBUS,194,194,-10.0,7,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516424,ARE,DUBAI,ARE,IRN,050,050,3.5,1,-4.00296515937732,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516423,ARE,UNITED ARAB EMIRATES,ARE,IRN,042,042,1.9,2,-4.67032967032967,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516421,ARE,UNITED ARAB EMIRATES,ARE,,130,130,-4.4,4,-3.80228136882129,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516919,IRN,IRAN,IRN,,190,190,-10.0,13,-3.90701152589792,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516273,IRNGOV,IRAN,IRN,MOS,057,057,8.0,1,-4.67032967032967,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516272,IRN,IRAN,IRN,USA,057,057,8.0,3,-3.12965722801789,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516271,IRN,IRAN,IRN,MOS,057,057,8.0,1,-4.67032967032967,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516270,IRN,IRAN,IRN,MOS,057,057,8.0,2,-4.67032967032967,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313515043,SAU,SAUDI ARABIA,SAU,YEM,190,190,-10.0,1,-3.78787878787878,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313515042,SAU,SAUDI,SAU,YEM,190,190,-10.0,3,-3.78787878787878,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516918,IRN,IRAN,IRN,,138,138,-7.0,1,-0.94664371772806,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516920,IRN,IRAN,IRN,,190,190,-10.0,5,-4.65116279069767,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516936,IRN,IRAN,IRN,JOR,043,043,2.8,2,-3.67041198501873,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516929,IRN,IRANIAN,IRN,IRQ,010,010,0.0,3,-4.67032967032967,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516935,IRN,IRAN,IRN,JOR,013,013,0.4,10,-3.67041198501873,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516934,IRN,IRAN,IRN,ISR,190,190,-10.0,2,-3.67041198501873,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516933,IRN,IRAN,IRN,ISR,190,190,-10.0,6,-3.67041198501873,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516932,IRN,IRAN,IRN,ISR,1121,112,-2.0,1,-2.04081632653061,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516931,IRN,IRANIAN,IRN,ISR,043,043,2.8,40,-2.94290133180661,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516930,IRN,IRANIAN,IRN,IRQ,010,010,0.0,4,-4.67032967032967,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516928,IRN,IRAN,IRN,IRNGOV,1121,112,-2.0,1,-2.04081632653061,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516921,IRN,IRAN,IRN,ARE,011,011,-0.1,2,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516927,IRN,IRAN,IRN,GOV,1121,112,-2.0,2,-2.04081632653061,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516926,IRN,IRAN,IRN,CVL,190,190,-10.0,4,-4.59655847416805,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516925,IRN,IRAN,IRN,CAN,190,190,-10.0,74,-3.44169738368882,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516924,IRN,IRANIAN,IRN,BUS,194,194,-10.0,1,-3.67041198501873,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516923,IRN,TEHRAN,IRN,ARE,043,043,2.8,2,-4.67032967032967,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313516922,IRN,IRAN,IRN,ARE,011,011,-0.1,8,-4.94155154091392,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313524392,IRNGOV,IRANIAN,IRN,PAK,040,040,1.0,356,-3.14408605233586,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313524394,IRNGOV,IRAN,IRN,QAT,010,010,0.0,178,-3.14408605233586,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313513998,ARE,ABU DHABI,ARE,,161,161,-4.0,42,-8.60058973983025,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531048,AREBUS,EMIRATI,ARE,USAMED,194,194,-10.0,8,-6.34441087613293,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531662,IRN,IRANIAN,IRN,PGS,192,192,-9.5,7,-3.32950631458094,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531661,IRN,IRANIAN,IRN,ISR,043,043,2.8,4,-2.85309027120637,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531660,IRN,IRAN,IRN,IRQ,190,190,-10.0,4,-6.89655172413793,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531659,IRN,IRAN,IRN,IRNMIL,194,194,-10.0,1,-6.5123010130246,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531658,IRN,IRANIAN,IRN,IRNMIL,194,194,-10.0,7,-6.5123010130246,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531657,IRN,IRANIAN,IRN,IRNMIL,190,190,-10.0,2,-6.89655172413793,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531656,IRN,IRAN,IRN,IGOUNO,010,010,0.0,4,-1.66468489892985,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531655,IRN,IRAN,IRN,IGOMEAARL,043,043,2.8,2,-4.56431535269709,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531654,IRN,IRAN,IRN,GOVMIL,190,190,-10.0,2,-4.8,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531653,IRN,IRAN,IRN,EGY,043,043,2.8,4,-4.56431535269709,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531652,IRN,IRAN,IRN,BUS,043,043,2.8,8,-3.32950631458094,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531651,IRN,IRAN,IRN,BUS,043,043,2.8,2,-3.32950631458094,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531650,IRN,IRANIAN,IRN,,194,194,-10.0,11,-6.36017735214988,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531649,IRN,IRAN,IRN,,051,051,3.4,10,-3.75586854460094,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531648,IRN,IRAN,IRN,,043,043,2.8,7,-5.24193548387097,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531663,IRN,IRAN,IRN,USA,160,160,-4.0,2,-3.32950631458094,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531664,IRN,IRAN,IRN,USA,160,160,-4.0,10,-4.60592962787871,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531665,IRNGOV,IRAN,IRN,,043,043,2.8,4,-6.48892773892774,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531674,IRQ,IRAQ,IRQ,USA,190,190,-10.0,4,0.52083333333334,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313532325,ARE,DUBAI,ARE,DJI,020,020,3.0,2,-5.48780487804878,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313532219,IRN,IRAN,IRN,USA,051,051,3.4,4,-4.85232067510548,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531953,SAU,SAUDI ARABIA,SAU,,030,030,4.0,3,-6.81818181818182,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531952,SAU,SAUDI,SAU,,016,016,-2.0,7,-4.87179487179487,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531947,QATGOV,QATAR,QAT,OPP,017,017,0.0,2,-4.21052631578947,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531946,QAT,QATAR,QAT,OPP,017,017,0.0,2,-4.21052631578947,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531673,IRQ,IRAQ,IRQ,USA,190,190,-10.0,4,0.52083333333334,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531666,IRNGOV,IRANIAN,IRN,BUS,010,010,0.0,5,-4.41558441558441,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531672,IRQ,IRAQ,IRQ,USA,051,051,3.4,8,0.52083333333334,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531671,IRQ,IRAQ,IRQ,USA,042,042,1.9,10,0.0,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531670,IRNMOS,IRAN,IRN,USA,130,130,-4.4,5,-6.6465256797583,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531669,IRNMOS,IRAN,IRN,SAUGOV,072,072,8.3,4,-0.84033613445379,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531668,IRNMOS,IRAN,IRN,ISR,072,072,8.3,4,-0.84033613445379,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531667,IRNMIL,IRANIAN,IRN,,190,190,-10.0,3,-6.89655172413793,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
